Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-04-30,24.98687082998629,25.07535125077236,24.93378257751465,24.93378257751465,88500,30,4,17,4,1993
1993-05-03,24.96917929871294,25.09305191040039,24.863002774409413,25.09305191040039,80500,3,0,18,5,1993
1993-05-04,25.146137827312284,25.270010427446827,25.110745655845275,25.181529998779297,149100,4,1,18,5,1993
1993-05-05,25.181536881006423,25.34080169613577,25.181536881006423,25.252321243286133,109000,5,2,18,5,1993
1993-05-06,25.216923786115043,25.234619872982492,25.146139438645246,25.163835525512695,54700,6,3,18,5,1993
1993-05-07,25.181523077751734,25.181523077751734,25.075346592532824,25.11073875427246,68000,7,4,18,5,1993
1993-05-10,25.146139438645246,25.30540422045229,25.146139438645246,25.163835525512695,113900,10,0,19,5,1993
1993-05-11,25.163823985252062,25.270000457763672,25.09303967024432,25.270000457763672,42600,11,1,19,5,1993
1993-05-12,25.163823383218947,25.25230377486177,25.163823383218947,25.234607696533203,31000,12,2,19,5,1993
1993-05-13,25.128439503244003,25.128439503244003,24.916086493357433,24.93378257751465,129100,13,3,19,5,1993
1993-05-14,24.933782280846078,25.004566616632722,24.898390112952754,24.916086196899414,63500,14,4,19,5,1993
1993-05-17,24.986862484985263,25.004558563232422,24.880686015502324,25.004558563232422,34000,17,0,20,5,1993
1993-05-18,25.022260068833997,25.039956150919455,24.89838749423581,24.986867904663086,105200,18,1,20,5,1993
1993-05-19,24.986867042980947,25.50005340576172,24.827602309704158,25.50005340576172,50200,19,2,20,5,1993
1993-05-20,25.500056501078358,25.57084083557129,25.44696825020866,25.57084083557129,98200,20,3,20,5,1993
1993-05-21,25.588540724535893,25.623932897045623,25.323099430712908,25.340795516967773,221400,21,4,20,5,1993
1993-05-24,25.39388553820996,25.535454238074546,25.39388553820996,25.44697380065918,30500,24,0,21,5,1993
1993-05-25,25.553141650187314,25.553141650187314,25.50005340576172,25.50005340576172,191800,25,1,21,5,1993
1993-05-26,25.570844953561824,25.836286250657622,25.553148867088773,25.81859016418457,102400,26,2,21,5,1993
1993-05-27,25.853967443620977,25.853967443620977,25.694702757109965,25.73009490966797,53800,27,3,21,5,1993
1993-05-28,25.712402439974223,25.712402439974223,25.482353416079064,25.606225967407227,79100,28,4,21,5,1993
1993-06-01,25.694706769939323,25.942451876536534,25.659314611854008,25.853971481323242,28300,1,1,22,6,1993
1993-06-02,25.783197991238463,25.907070596549836,25.677021472400146,25.81859016418457,20300,2,2,22,6,1993
1993-06-03,25.765487062225972,25.765487062225972,25.677006680830964,25.73009490966797,21600,3,3,22,6,1993
1993-06-04,25.659326259805223,25.659326259805223,25.535453650275127,25.641630172729492,32000,4,4,22,6,1993
1993-06-07,25.694716958127852,25.694716958127852,25.55314826965332,25.55314826965332,121400,7,0,23,6,1993
1993-06-08,25.482354314072328,25.482354314072328,25.323089599609375,25.323089599609375,104500,8,1,23,6,1993
1993-06-09,25.411575317382812,25.51775181592341,25.376183151202614,25.411575317382812,43300,9,2,23,6,1993
1993-06-10,25.393881436097764,25.446969689971137,25.340793182224388,25.42927360534668,17900,10,3,23,6,1993
1993-06-11,25.517748179075543,25.57083642077958,25.429267776235474,25.535444259643555,647400,11,4,23,6,1993
